File,Sort Option,CPU Time (ms),Memory (KB)
4000.case2,IS,0.142,5904
4000.case2,MS,1.537,5904
4000.case2,BMS,0.98,5904
4000.case2,QS,14.24,5904
4000.case2,RQS,0.935,5904
4000.case3,IS,8.727,5904
4000.case3,MS,1.601,5904
4000.case3,BMS,1.64,5904
4000.case3,QS,13.921,5908
4000.case3,RQS,0.66,5904
4000.case1,IS,6.87,5904
4000.case1,MS,2.021,5904
4000.case1,BMS,2.294,5904
4000.case1,QS,1.323,5904
4000.case1,RQS,1.7,5904
16000.case2,IS,0.141,6048
16000.case2,MS,2.856,6048
16000.case2,BMS,3.071,6048
16000.case2,QS,133.947,6048
16000.case2,RQS,2.251,6048
16000.case3,IS,68.345,6048
16000.case3,MS,5.392,6048
16000.case3,BMS,3.11,6048
16000.case3,QS,111.612,6424
16000.case3,RQS,1.625,6048
16000.case1,IS,34.326,6048
16000.case1,MS,6.66,6048
16000.case1,BMS,5.698,6048
16000.case1,QS,1.737,6048
16000.case1,RQS,2.667,6048
32000.case2,IS,0.086,6180
32000.case2,MS,4.64,6308
32000.case2,BMS,5.117,6308
32000.case2,QS,489.9,6180
32000.case2,RQS,3.031,6180
32000.case3,IS,257.864,6180
32000.case3,MS,5.845,6308
32000.case3,BMS,4.472,6308
32000.case3,QS,410.875,6976
32000.case3,RQS,3.039,6180
32000.case1,IS,126.954,6180
32000.case1,MS,8.345,6308
32000.case1,BMS,7.61,6308
32000.case1,QS,3.345,6180
32000.case1,RQS,5.459,6180
1000000.case2,IS,1.123,12136
1000000.case2,MS,145.405,16228
1000000.case2,BMS,130.698,16228
1000000.case2,QS,443814,12136
1000000.case2,RQS,72.838,12136
1000000.case3,IS,265106,12136
1000000.case3,MS,157.902,16228
1000000.case3,BMS,147.692,16228
1000000.case3,QS,317881,28668
1000000.case3,RQS,69.632,12136
1000000.case1,IS,126958,12136
1000000.case1,MS,239.414,16228
1000000.case1,BMS,227.588,16228
1000000.case1,QS,112.859,12136
1000000.case1,RQS,132.969,12136
